mcs,qm,rate,snr_db,bler,n_blocks,n_errors
12,4,0.4238,12.0,0.000000,100,0
14,4,0.5400,5.0,1.000000,100,100
14,4,0.5400,6.0,1.000000,100,100
14,4,0.5400,7.0,0.180000,100,18
14,4,0.5400,8.0,0.000000,100,0
14,4,0.5400,9.0,0.000000,100,0
14,4,0.5400,10.0,0.000000,100,0
14,4,0.5400,11.0,0.000000,100,0
14,4,0.5400,12.0,0.000000,100,0
14,4,0.5400,13.0,0.000000,100,0
14,4,0.5400,14.0,0.000000,100,0
13,4,0.4785,3.0,1.000000,100,100
13,4,0.4785,4.0,1.000000,100,100
13,4,0.4785,5.0,1.000000,100,100
13,4,0.4785,6.0,0.010000,100,1
13,4,0.4785,7.0,0.000000,100,0
13,4,0.4785,8.0,0.000000,100,0
13,4,0.4785,9.0,0.000000,100,0
13,4,0.4785,10.0,0.000000,100,0
13,4,0.4785,11.0,0.000000,100,0
13,4,0.4785,12.0,0.000000,100,0
15,4,0.6016,7.0,1.000000,100,100
15,4,0.6016,8.0,0.110000,100,11
15,4,0.6016,9.0,0.000000,100,0
15,4,0.6016,10.0,0.000000,100,0
15,4,0.6016,11.0,0.000000,100,0
15,4,0.6016,12.0,0.000000,100,0
15,4,0.6016,13.0,0.000000,100,0
15,4,0.6016,14.0,0.000000,100,0
15,4,0.6016,15.0,0.000000,100,0
15,4,0.6016,16.0,0.000000,100,0
16,4,0.6426,7.0,1.000000,100,100
16,4,0.6426,8.0,1.000000,100,100
16,4,0.6426,9.0,0.000000,100,0
16,4,0.6426,10.0,0.000000,100,0
16,4,0.6426,11.0,0.000000,100,0
16,4,0.6426,12.0,0.000000,100,0
16,4,0.6426,13.0,0.000000,100,0
16,4,0.6426,14.0,0.000000,100,0
16,4,0.6426,15.0,0.000000,100,0
16,4,0.6426,16.0,0.000000,100,0
17,6,0.4277,6.0,1.000000,100,100
17,6,0.4277,7.0,1.000000,100,100
17,6,0.4277,8.0,1.000000,100,100
17,6,0.4277,9.0,0.610000,100,61
17,6,0.4277,10.0,0.000000,100,0
17,6,0.4277,11.0,0.000000,100,0
17,6,0.4277,12.0,0.000000,100,0
17,6,0.4277,13.0,0.000000,100,0
17,6,0.4277,14.0,0.000000,100,0
17,6,0.4277,15.0,0.000000,100,0
18,6,0.4551,6.0,1.000000,100,100
18,6,0.4551,7.0,1.000000,100,100
18,6,0.4551,8.0,1.000000,100,100
18,6,0.4551,9.0,1.000000,100,100
18,6,0.4551,10.0,0.000000,100,0
18,6,0.4551,11.0,0.000000,100,0
18,6,0.4551,12.0,0.000000,100,0
18,6,0.4551,13.0,0.000000,100,0
18,6,0.4551,14.0,0.000000,100,0
18,6,0.4551,15.0,0.000000,100,0
19,6,0.5049,8.0,1.000000,100,100
19,6,0.5049,9.0,1.000000,100,100
19,6,0.5049,10.0,1.000000,100,100
19,6,0.5049,11.0,0.000000,100,0
19,6,0.5049,12.0,0.000000,100,0
19,6,0.5049,13.0,0.000000,100,0
19,6,0.5049,14.0,0.000000,100,0
19,6,0.5049,15.0,0.000000,100,0
19,6,0.5049,16.0,0.000000,100,0
19,6,0.5049,17.0,0.000000,100,0
20,6,0.5537,8.0,1.000000,100,100
20,6,0.5537,9.0,1.000000,100,100
20,6,0.5537,10.0,1.000000,100,100
20,6,0.5537,11.0,1.000000,100,100
20,6,0.5537,12.0,0.000000,100,0
20,6,0.5537,13.0,0.000000,100,0
20,6,0.5537,14.0,0.000000,100,0
20,6,0.5537,15.0,0.000000,100,0
20,6,0.5537,16.0,0.000000,100,0
20,6,0.5537,17.0,0.000000,100,0
21,6,0.6016,10.0,1.000000,100,100
21,6,0.6016,11.0,1.000000,100,100
21,6,0.6016,12.0,1.000000,100,100
21,6,0.6016,13.0,0.000000,100,0
21,6,0.6016,14.0,0.000000,100,0
21,6,0.6016,15.0,0.000000,100,0
21,6,0.6016,16.0,0.000000,100,0
21,6,0.6016,17.0,0.000000,100,0
21,6,0.6016,18.0,0.000000,100,0
21,6,0.6016,19.0,0.000000,100,0
22,6,0.6504,10.0,1.000000,100,100
22,6,0.6504,11.0,1.000000,100,100
22,6,0.6504,12.0,1.000000,100,100
22,6,0.6504,13.0,0.980000,100,98
22,6,0.6504,14.0,0.000000,100,0
22,6,0.6504,15.0,0.000000,100,0
22,6,0.6504,16.0,0.000000,100,0
22,6,0.6504,17.0,0.000000,100,0
22,6,0.6504,18.0,0.000000,100,0
22,6,0.6504,19.0,0.000000,100,0
23,6,0.7021,12.0,1.000000,100,100
23,6,0.7021,13.0,1.000000,100,100
23,6,0.7021,14.0,1.000000,100,100
23,6,0.7021,15.0,0.000000,100,0
23,6,0.7021,16.0,0.000000,100,0
23,6,0.7021,17.0,0.000000,100,0
23,6,0.7021,18.0,0.000000,100,0
23,6,0.7021,19.0,0.000000,100,0
23,6,0.7021,20.0,0.000000,100,0
23,6,0.7021,21.0,0.000000,100,0
24,6,0.7539,12.0,1.000000,100,100
24,6,0.7539,13.0,1.000000,100,100
24,6,0.7539,14.0,1.000000,100,100
24,6,0.7539,15.0,0.960000,100,96
24,6,0.7539,16.0,0.000000,100,0
24,6,0.7539,17.0,0.000000,100,0
24,6,0.7539,18.0,0.000000,100,0
24,6,0.7539,19.0,0.000000,100,0
24,6,0.7539,20.0,0.000000,100,0
24,6,0.7539,21.0,0.000000,100,0
25,6,0.8027,14.0,1.000000,100,100
25,6,0.8027,15.0,1.000000,100,100
25,6,0.8027,16.0,1.000000,100,100
25,6,0.8027,17.0,0.000000,100,0
25,6,0.8027,18.0,0.000000,100,0
25,6,0.8027,19.0,0.000000,100,0
25,6,0.8027,20.0,0.000000,100,0
25,6,0.8027,21.0,0.000000,100,0
25,6,0.8027,22.0,0.000000,100,0
25,6,0.8027,23.0,0.000000,100,0
25,6,0.8027,24.0,0.000000,100,0
26,6,0.8525,14.0,1.000000,100,100
26,6,0.8525,15.0,1.000000,100,100
26,6,0.8525,16.0,1.000000,100,100
26,6,0.8525,17.0,1.000000,100,100
26,6,0.8525,18.0,0.000000,100,0
26,6,0.8525,19.0,0.000000,100,0
26,6,0.8525,20.0,0.000000,100,0
26,6,0.8525,21.0,0.000000,100,0
26,6,0.8525,22.0,0.000000,100,0
26,6,0.8525,23.0,0.000000,100,0
26,6,0.8525,24.0,0.000000,100,0
27,6,0.8887,14.0,1.000000,100,100
27,6,0.8887,15.0,1.000000,100,100
27,6,0.8887,16.0,1.000000,100,100
27,6,0.8887,17.0,1.000000,100,100
27,6,0.8887,18.0,1.000000,100,100
27,6,0.8887,19.0,0.000000,100,0
27,6,0.8887,20.0,0.000000,100,0
27,6,0.8887,21.0,0.000000,100,0
27,6,0.8887,22.0,0.000000,100,0
27,6,0.8887,23.0,0.000000,100,0
27,6,0.8887,24.0,0.000000,100,0
3,2,0.2451,-3.5,0.980000,100,98
3,2,0.2451,-2.5,0.000000,200,0
4,2,0.3008,-2.5,1.000000,100,100
4,2,0.3008,-1.5,0.020000,200,4
5,2,0.3701,-0.5,0.075000,200,15
7,2,0.5137,0.5,1.000000,100,100
6,2,0.4385,0.5,0.015000,200,3
7,2,0.5137,1.5,0.000000,200,0
8,2,0.5879,1.5,1.000000,100,100
8,2,0.5879,2.5,0.000000,200,0
9,2,0.6631,2.5,1.000000,100,100
10,4,0.3320,3.5,0.000000,200,0
11,4,0.3691,3.5,1.000000,100,100
12,4,0.4238,4.5,1.000000,100,100
11,4,0.3691,4.5,0.000000,200,0
14,4,0.5400,6.5,1.000000,100,100
13,4,0.4785,5.5,0.960000,100,96
14,4,0.5400,7.5,0.005000,200,1
15,4,0.6016,7.5,1.000000,100,100
15,4,0.6016,8.5,0.000000,200,0
16,4,0.6426,8.5,0.085000,200,17
17,6,0.4277,8.5,1.000000,100,100
18,6,0.4551,9.5,0.950000,100,95
17,6,0.4277,9.5,0.000000,200,0
19,6,0.5049,10.5,0.650000,100,65
20,6,0.5537,11.5,0.840000,100,84
21,6,0.6016,12.5,0.020000,200,4
22,6,0.6504,13.5,0.000000,200,0
24,6,0.7539,15.5,0.035000,200,7
23,6,0.7021,14.5,0.015000,200,3
25,6,0.8027,16.5,0.460000,100,46
26,6,0.8525,17.5,0.193548,155,30
27,6,0.8887,18.5,0.510000,100,51
